member,download,type,text,規格書
MTB002C,已下載,CLP,客戶主檔整檔批次處理 ,
MTB003C,已下載,CLP,客戶主檔整檔批次處理 ,
MTI023C,已下載,CLP,停止往來客戶查詢－通路型態 ,
MTM000C,已下載,CLP,主檔資料維護主畫面 ,
MTR010C,已下載,CLP,產品最低售價列印 ,
MTR010C1,已下載,CLP,產品最低售價列印 ,
MTR041C,已下載,CLP,產品清冊列印,
MTR041C1,已下載,CLP,產品清冊列印,
MTR042C,已下載,CLP,供應商清冊列印,
MTR042C1,已下載,CLP,供應商清冊列印,
MTR043C,已下載,CLP,客戶清冊,
MTR043C1,已下載,CLP,客戶清冊,
MTR044C,已下載,CLP,客戶信用明細表,
MTR044C1,已下載,CLP,客戶信用明細表,
MTR045C,已下載,CLP,員工清冊列印,
MTR045C1,已下載,CLP,員工清冊列印,
MTR046C,已下載,CLP,禮盒結構資料清冊,
MTR046C1,已下載,CLP,禮盒結構資料清冊,
MTR047C,已下載,CLP,業務員輪調客戶報表,
MTR047C1,已下載,CLP,業務員輪調客戶報表,
MTR048C,已下載,CLP,客戶簡明表,
MTR048C1,已下載,CLP,客戶簡明表,
MTR049C,已下載,CLP,供應商產品一覽表,
MTR049C1,已下載,CLP,供應商產品一覽表,
MTR050C,已下載,CLP,新增產品一覽表,
MTR050C1,已下載,CLP,新增產品一覽表,
MTR051C,已下載,CLP,產品簡明表,
MTR051C1,已下載,CLP,產品簡明表,
MTR052C,已下載,CLP,收款用客戶明細表,
MTR052C1,已下載,CLP,收款用客戶明細表,
MTR053C,已下載,CLP,新增客戶一覽表,
MTR053C1,已下載,CLP,新增客戶一覽表,
MTR054C,已下載,CLP,產品搭贈清冊列印,
MTR054C1,已下載,CLP,產品搭贈清冊列印,
MTR055C,已下載,CLP,客戶搭贈清冊,
MTR055C1,已下載,CLP,客戶搭贈清冊,
MTR056C,已下載,CLP,產品基本資料卡列印,
MTR056C1,已下載,CLP,產品基本資料卡列印,
MUNC,已下載,CLP,管理資訊系統主畫面 -user  ,
MUN000C,已下載,CLP,管理資訊系統主畫面 -user  ,
OCR2101C,已下載,CLP,MODEL COMPONENT LIST  ,
PAM000C,已下載,CLP,代碼資料維護主畫面  ,
PAR001C,已下載,CLP,公司別資料列印  ,
PAR001C1,已下載,CLP,公司別資料列印  ,
PAR002C,已下載,CLP,代碼資料列印  ,
PAR002C1,已下載,CLP,代碼資料列印  ,
PAR003C,已下載,CLP,銷售通路型態碼資料列印  updbystephanie,
PAR003C1,已下載,CLP,銷售通路型態碼資料列印  updbystephanie,
PAR004C,已下載,CLP,銷售地區碼資料列印  ,
